anchor,positive,negative
Acoustic guitar,Choir,no Acoustic guitar
Acoustic guitar,Choir,no Choir
Acoustic guitar,Church bell,no Acoustic guitar
Acoustic guitar,Church bell,no Church bell
Acoustic guitar,Clarinet,no Acoustic guitar
Acoustic guitar,Clarinet,no Clarinet
Acoustic guitar,Cornet,no Acoustic guitar
Acoustic guitar,Cornet,no Cornet
Acoustic guitar,Cowbell,no Acoustic guitar
Acoustic guitar,Cowbell,no Cowbell
Acoustic guitar,Crash cymbal,no Acoustic guitar
Acoustic guitar,Crash cymbal,no Crash cymbal
Acoustic guitar,Cymbal,no Acoustic guitar
Acoustic guitar,Cymbal,no Cymbal
Acoustic guitar,Didgeridoo,no Acoustic guitar
Acoustic guitar,Didgeridoo,no Didgeridoo
Acoustic guitar,Double bass,no Acoustic guitar
Acoustic guitar,Double bass,no Double bass
Acoustic guitar,Drum,no Acoustic guitar
Acoustic guitar,Drum,no Drum
Acoustic guitar,Drum kit,no Acoustic guitar
Acoustic guitar,Drum kit,no Drum kit
Acoustic guitar,Drum machine,no Acoustic guitar
Acoustic guitar,Drum machine,no Drum machine
Acoustic guitar,Electric organ,no Acoustic guitar
Acoustic guitar,Electric organ,no Electric organ
Acoustic guitar,Electric piano,no Acoustic guitar
Acoustic guitar,Electric piano,no Electric piano
Acoustic guitar,Flute,no Acoustic guitar
Acoustic guitar,Flute,no Flute
Acoustic guitar,French horn,no Acoustic guitar
Acoustic guitar,French horn,no French horn
Acoustic guitar,Glockenspiel,no Acoustic guitar
Acoustic guitar,Glockenspiel,no Glockenspiel
Acoustic guitar,Gong,no Acoustic guitar
Acoustic guitar,Gong,no Gong
Acoustic guitar,Hammond organ,no Acoustic guitar
Acoustic guitar,Hammond organ,no Hammond organ
Acoustic guitar,Harmonica,no Acoustic guitar
Acoustic guitar,Harmonica,no Harmonica
Acoustic guitar,Harp,no Acoustic guitar
Acoustic guitar,Harp,no Harp
Acoustic guitar,Harpsichord,no Acoustic guitar
Acoustic guitar,Harpsichord,no Harpsichord
Acoustic guitar,Hi-hat,no Acoustic guitar
Acoustic guitar,Hi-hat,no Hi-hat
Acoustic guitar,Jingle bell,no Acoustic guitar
Acoustic guitar,Jingle bell,no Jingle bell
Acoustic guitar,Keyboard (musical),no Acoustic guitar
Acoustic guitar,Keyboard (musical),no Keyboard (musical)
Acoustic guitar,Mallet percussion,no Acoustic guitar
Acoustic guitar,Mallet percussion,no Mallet percussion
Acoustic guitar,Mandolin,no Acoustic guitar
Acoustic guitar,Mandolin,no Mandolin
Acoustic guitar,Maraca,no Acoustic guitar
Acoustic guitar,Maraca,no Maraca
Acoustic guitar,"Marimba, xylophone",no Acoustic guitar
Acoustic guitar,"Marimba, xylophone","no Marimba, xylophone"
Acoustic guitar,Mellotron,no Acoustic guitar
Acoustic guitar,Mellotron,no Mellotron
Acoustic guitar,Musical ensemble,no Acoustic guitar
Acoustic guitar,Musical ensemble,no Musical ensemble
Acoustic guitar,Oboe,no Acoustic guitar
Acoustic guitar,Oboe,no Oboe
Acoustic guitar,Orchestra,no Acoustic guitar
Acoustic guitar,Orchestra,no Orchestra
Acoustic guitar,Organ,no Acoustic guitar
Acoustic guitar,Organ,no Organ
Acoustic guitar,Percussion,no Acoustic guitar
Acoustic guitar,Percussion,no Percussion
Acoustic guitar,Piano,no Acoustic guitar
Acoustic guitar,Piano,no Piano
Acoustic guitar,Pizzicato,no Acoustic guitar
Acoustic guitar,Pizzicato,no Pizzicato
Acoustic guitar,Rattle (instrument),no Acoustic guitar
Acoustic guitar,Rattle (instrument),no Rattle (instrument)
Acoustic guitar,Sampler,no Acoustic guitar
Acoustic guitar,Sampler,no Sampler
Acoustic guitar,Saxophone,no Acoustic guitar
Acoustic guitar,Saxophone,no Saxophone
Acoustic guitar,Scratching (performance technique),no Acoustic guitar
Acoustic guitar,Scratching (performance technique),no Scratching (performance technique)
Acoustic guitar,Shofar,no Acoustic guitar
Acoustic guitar,Shofar,no Shofar
Acoustic guitar,Singing bowl,no Acoustic guitar
Acoustic guitar,Singing bowl,no Singing bowl
Acoustic guitar,Sitar,no Acoustic guitar
Acoustic guitar,Sitar,no Sitar
Acoustic guitar,Snare drum,no Acoustic guitar
Acoustic guitar,Snare drum,no Snare drum
Acoustic guitar,Soprano saxophone,no Acoustic guitar
Acoustic guitar,Soprano saxophone,no Soprano saxophone
Acoustic guitar,"Steel guitar, slide guitar",no Acoustic guitar
Acoustic guitar,"Steel guitar, slide guitar","no Steel guitar, slide guitar"
Acoustic guitar,Steelpan,no Acoustic guitar
Acoustic guitar,Steelpan,no Steelpan
Acoustic guitar,String section,no Acoustic guitar
Acoustic guitar,String section,no String section
Acoustic guitar,Strum,no Acoustic guitar
Acoustic guitar,Strum,no Strum
Acoustic guitar,Synthesizer,no Acoustic guitar
Acoustic guitar,Synthesizer,no Synthesizer
Acoustic guitar,Tabla,no Acoustic guitar
Acoustic guitar,Tabla,no Tabla
Acoustic guitar,Tambourine,no Acoustic guitar
Acoustic guitar,Tambourine,no Tambourine
Acoustic guitar,Tapping (guitar technique),no Acoustic guitar
Acoustic guitar,Tapping (guitar technique),no Tapping (guitar technique)
Acoustic guitar,Theremin,no Acoustic guitar
Acoustic guitar,Theremin,no Theremin
Acoustic guitar,Timpani,no Acoustic guitar
Acoustic guitar,Timpani,no Timpani
Acoustic guitar,Trombone,no Acoustic guitar
Acoustic guitar,Trombone,no Trombone
Acoustic guitar,Trumpet,no Acoustic guitar
Acoustic guitar,Trumpet,no Trumpet
Acoustic guitar,Tubular bells,no Acoustic guitar
Acoustic guitar,Tubular bells,no Tubular bells
Acoustic guitar,Tuning fork,no Acoustic guitar
Acoustic guitar,Tuning fork,no Tuning fork
Acoustic guitar,Ukulele,no Acoustic guitar
Acoustic guitar,Ukulele,no Ukulele
Acoustic guitar,Vibraphone,no Acoustic guitar
Acoustic guitar,Vibraphone,no Vibraphone
Acoustic guitar,"Violin, fiddle",no Acoustic guitar
Acoustic guitar,"Violin, fiddle","no Violin, fiddle"
Acoustic guitar,Wind chime,no Acoustic guitar
Acoustic guitar,Wind chime,no Wind chime
Acoustic guitar,"Wind instrument, woodwind instrument",no Acoustic guitar
Acoustic guitar,"Wind instrument, woodwind instrument","no Wind instrument, woodwind instrument"
Acoustic guitar,Wood block,no Acoustic guitar
Acoustic guitar,Wood block,no Wood block
Acoustic guitar,Zither,no Acoustic guitar
Acoustic guitar,Zither,no Zither
Alto saxophone,Accordion,no Alto saxophone
Alto saxophone,Accordion,no Accordion
Alto saxophone,Bagpipes,no Alto saxophone
Alto saxophone,Bagpipes,no Bagpipes
Alto saxophone,Bass (instrument role),no Alto saxophone
Alto saxophone,Bass (instrument role),no Bass (instrument role)
Alto saxophone,Bassoon,no Alto saxophone
Alto saxophone,Bassoon,no Bassoon
Alto saxophone,Bell,no Alto saxophone
Alto saxophone,Bell,no Bell
Alto saxophone,Bicycle bell,no Alto saxophone
Alto saxophone,Bicycle bell,no Bicycle bell
Alto saxophone,Change ringing (campanology),no Alto saxophone
Alto saxophone,Change ringing (campanology),no Change ringing (campanology)
Alto saxophone,Chime,no Alto saxophone
Alto saxophone,Chime,no Chime
Alto saxophone,Choir,no Alto saxophone
Alto saxophone,Choir,no Choir
Alto saxophone,Church bell,no Alto saxophone
Alto saxophone,Church bell,no Church bell
Alto saxophone,Clarinet,no Alto saxophone
Alto saxophone,Clarinet,no Clarinet
Alto saxophone,Cowbell,no Alto saxophone
Alto saxophone,Cowbell,no Cowbell
Alto saxophone,Didgeridoo,no Alto saxophone
Alto saxophone,Didgeridoo,no Didgeridoo
Alto saxophone,Harmonica,no Alto saxophone
Alto saxophone,Harmonica,no Harmonica
Alto saxophone,Harp,no Alto saxophone
Alto saxophone,Harp,no Harp
Alto saxophone,Jingle bell,no Alto saxophone
Alto saxophone,Jingle bell,no Jingle bell
Alto saxophone,Musical ensemble,no Alto saxophone
Alto saxophone,Musical ensemble,no Musical ensemble
Alto saxophone,Oboe,no Alto saxophone
Alto saxophone,Oboe,no Oboe
Alto saxophone,Scratching (performance technique),no Alto saxophone
Alto saxophone,Scratching (performance technique),no Scratching (performance technique)
Alto saxophone,Shofar,no Alto saxophone
Alto saxophone,Shofar,no Shofar
Alto saxophone,Singing bowl,no Alto saxophone
Alto saxophone,Singing bowl,no Singing bowl
Alto saxophone,Soprano saxophone,no Alto saxophone
Alto saxophone,Soprano saxophone,no Soprano saxophone
Alto saxophone,Theremin,no Alto saxophone
Alto saxophone,Theremin,no Theremin
Alto saxophone,Tuning fork,no Alto saxophone
Alto saxophone,Tuning fork,no Tuning fork
Alto saxophone,Wind chime,no Alto saxophone
Alto saxophone,Wind chime,no Wind chime
Bagpipes,Bass (instrument role),no Bagpipes
Bagpipes,Bass (instrument role),no Bass (instrument role)
Bagpipes,Didgeridoo,no Bagpipes
Bagpipes,Didgeridoo,no Didgeridoo
Bagpipes,Musical ensemble,no Bagpipes
Bagpipes,Musical ensemble,no Musical ensemble
Bagpipes,Scratching (performance technique),no Bagpipes
Bagpipes,Scratching (performance technique),no Scratching (performance technique)
Bagpipes,Shofar,no Bagpipes
Bagpipes,Shofar,no Shofar
Bagpipes,Singing bowl,no Bagpipes
Bagpipes,Singing bowl,no Singing bowl
Bagpipes,Theremin,no Bagpipes
Bagpipes,Theremin,no Theremin
Banjo,Accordion,no Banjo
Banjo,Accordion,no Accordion
Banjo,Alto saxophone,no Banjo
Banjo,Alto saxophone,no Alto saxophone
Banjo,Bagpipes,no Banjo
Banjo,Bagpipes,no Bagpipes
Banjo,Bass (instrument role),no Banjo
Banjo,Bass (instrument role),no Bass (instrument role)
Banjo,Bass drum,no Banjo
Banjo,Bass drum,no Bass drum
Banjo,Bassoon,no Banjo
Banjo,Bassoon,no Bassoon
Banjo,Bell,no Banjo
Banjo,Bell,no Bell
Banjo,Bicycle bell,no Banjo
Banjo,Bicycle bell,no Bicycle bell
Banjo,Bowed string instrument,no Banjo
Banjo,Bowed string instrument,no Bowed string instrument
Banjo,Brass Instrument,no Banjo
Banjo,Brass Instrument,no Brass Instrument
Banjo,Bugle,no Banjo
Banjo,Bugle,no Bugle
Banjo,Cello,no Banjo
Banjo,Cello,no Cello
Banjo,Change ringing (campanology),no Banjo
Banjo,Change ringing (campanology),no Change ringing (campanology)
Banjo,Chime,no Banjo
Banjo,Chime,no Chime
Banjo,Choir,no Banjo
Banjo,Choir,no Choir
Banjo,Church bell,no Banjo
Banjo,Church bell,no Church bell
Banjo,Clarinet,no Banjo
Banjo,Clarinet,no Clarinet
Banjo,Cornet,no Banjo
Banjo,Cornet,no Cornet
Banjo,Cowbell,no Banjo
Banjo,Cowbell,no Cowbell
Banjo,Crash cymbal,no Banjo
Banjo,Crash cymbal,no Crash cymbal
Banjo,Cymbal,no Banjo
Banjo,Cymbal,no Cymbal
Banjo,Didgeridoo,no Banjo
Banjo,Didgeridoo,no Didgeridoo
Banjo,Double bass,no Banjo
Banjo,Double bass,no Double bass
Banjo,Drum,no Banjo
Banjo,Drum,no Drum
Banjo,Drum kit,no Banjo
Banjo,Drum kit,no Drum kit
Banjo,Drum machine,no Banjo
Banjo,Drum machine,no Drum machine
Banjo,Electric organ,no Banjo
Banjo,Electric organ,no Electric organ
Banjo,Electric piano,no Banjo
Banjo,Electric piano,no Electric piano
Banjo,Flute,no Banjo
Banjo,Flute,no Flute
Banjo,French horn,no Banjo
Banjo,French horn,no French horn
Banjo,Glockenspiel,no Banjo
Banjo,Glockenspiel,no Glockenspiel
Banjo,Gong,no Banjo
Banjo,Gong,no Gong
Banjo,Hammond organ,no Banjo
Banjo,Hammond organ,no Hammond organ
Banjo,Harmonica,no Banjo
Banjo,Harmonica,no Harmonica
Banjo,Harp,no Banjo
Banjo,Harp,no Harp
Banjo,Harpsichord,no Banjo
Banjo,Harpsichord,no Harpsichord
Banjo,Hi-hat,no Banjo
Banjo,Hi-hat,no Hi-hat
Banjo,Jingle bell,no Banjo
Banjo,Jingle bell,no Jingle bell
Banjo,Keyboard (musical),no Banjo
Banjo,Keyboard (musical),no Keyboard (musical)
Banjo,Mallet percussion,no Banjo
Banjo,Mallet percussion,no Mallet percussion
Banjo,Mandolin,no Banjo
Banjo,Mandolin,no Mandolin
Banjo,Maraca,no Banjo
Banjo,Maraca,no Maraca
Banjo,"Marimba, xylophone",no Banjo
Banjo,"Marimba, xylophone","no Marimba, xylophone"
Banjo,Mellotron,no Banjo
Banjo,Mellotron,no Mellotron
Banjo,Musical ensemble,no Banjo
Banjo,Musical ensemble,no Musical ensemble
Banjo,Oboe,no Banjo
Banjo,Oboe,no Oboe
Banjo,Orchestra,no Banjo
Banjo,Orchestra,no Orchestra
Banjo,Organ,no Banjo
Banjo,Organ,no Organ
Banjo,Percussion,no Banjo
Banjo,Percussion,no Percussion
Banjo,Piano,no Banjo
Banjo,Piano,no Piano
Banjo,Pizzicato,no Banjo
Banjo,Pizzicato,no Pizzicato
Banjo,Rattle (instrument),no Banjo
Banjo,Rattle (instrument),no Rattle (instrument)
Banjo,Sampler,no Banjo
Banjo,Sampler,no Sampler
Banjo,Saxophone,no Banjo
Banjo,Saxophone,no Saxophone
Banjo,Scratching (performance technique),no Banjo
Banjo,Scratching (performance technique),no Scratching (performance technique)
Banjo,Shofar,no Banjo
Banjo,Shofar,no Shofar
Banjo,Singing bowl,no Banjo
Banjo,Singing bowl,no Singing bowl
Banjo,Sitar,no Banjo
Banjo,Sitar,no Sitar
Banjo,Snare drum,no Banjo
Banjo,Snare drum,no Snare drum
Banjo,Soprano saxophone,no Banjo
Banjo,Soprano saxophone,no Soprano saxophone
Banjo,Steelpan,no Banjo
Banjo,Steelpan,no Steelpan
Banjo,String section,no Banjo
Banjo,String section,no String section
Banjo,Synthesizer,no Banjo
Banjo,Synthesizer,no Synthesizer
Banjo,Tabla,no Banjo
Banjo,Tabla,no Tabla
Banjo,Tambourine,no Banjo
Banjo,Tambourine,no Tambourine
Banjo,Theremin,no Banjo
Banjo,Theremin,no Theremin
Banjo,Timpani,no Banjo
Banjo,Timpani,no Timpani
Banjo,Trombone,no Banjo
Banjo,Trombone,no Trombone
Banjo,Trumpet,no Banjo
Banjo,Trumpet,no Trumpet
Banjo,Tubular bells,no Banjo
Banjo,Tubular bells,no Tubular bells
Banjo,Tuning fork,no Banjo
Banjo,Tuning fork,no Tuning fork
Banjo,Ukulele,no Banjo
Banjo,Ukulele,no Ukulele
Banjo,Vibraphone,no Banjo
Banjo,Vibraphone,no Vibraphone
Banjo,"Violin, fiddle",no Banjo
Banjo,"Violin, fiddle","no Violin, fiddle"
Banjo,Wind chime,no Banjo
Banjo,Wind chime,no Wind chime
Banjo,"Wind instrument, woodwind instrument",no Banjo
Banjo,"Wind instrument, woodwind instrument","no Wind instrument, woodwind instrument"
Banjo,Wood block,no Banjo
Banjo,Wood block,no Wood block
Banjo,Zither,no Banjo
Banjo,Zither,no Zither
Bass (instrument role),Scratching (performance technique),no Bass (instrument role)
Bass (instrument role),Scratching (performance technique),no Scratching (performance technique)
Bass drum,Accordion,no Bass drum
Bass drum,Accordion,no Accordion
Bass drum,Alto saxophone,no Bass drum
Bass drum,Alto saxophone,no Alto saxophone
Bass drum,Bagpipes,no Bass drum
Bass drum,Bagpipes,no Bagpipes
Bass drum,Bass (instrument role),no Bass drum
Bass drum,Bass (instrument role),no Bass (instrument role)
Bass drum,Bassoon,no Bass drum
Bass drum,Bassoon,no Bassoon
Bass drum,Bell,no Bass drum
Bass drum,Bell,no Bell
Bass drum,Bicycle bell,no Bass drum
Bass drum,Bicycle bell,no Bicycle bell
Bass drum,Bowed string instrument,no Bass drum
Bass drum,Bowed string instrument,no Bowed string instrument
Bass drum,Brass Instrument,no Bass drum
Bass drum,Brass Instrument,no Brass Instrument
Bass drum,Bugle,no Bass drum
Bass drum,Bugle,no Bugle
Bass drum,Cello,no Bass drum
Bass drum,Cello,no Cello
Bass drum,Change ringing (campanology),no Bass drum
Bass drum,Change ringing (campanology),no Change ringing (campanology)
Bass drum,Chime,no Bass drum
Bass drum,Chime,no Chime
Bass drum,Choir,no Bass drum
Bass drum,Choir,no Choir
Bass drum,Church bell,no Bass drum
Bass drum,Church bell,no Church bell
Bass drum,Clarinet,no Bass drum
Bass drum,Clarinet,no Clarinet
Bass drum,Cornet,no Bass drum
Bass drum,Cornet,no Cornet
Bass drum,Cowbell,no Bass drum
Bass drum,Cowbell,no Cowbell
Bass drum,Crash cymbal,no Bass drum
Bass drum,Crash cymbal,no Crash cymbal
Bass drum,Cymbal,no Bass drum
Bass drum,Cymbal,no Cymbal
Bass drum,Didgeridoo,no Bass drum
Bass drum,Didgeridoo,no Didgeridoo
Bass drum,Double bass,no Bass drum
Bass drum,Double bass,no Double bass
Bass drum,Flute,no Bass drum
Bass drum,Flute,no Flute
Bass drum,French horn,no Bass drum
Bass drum,French horn,no French horn
Bass drum,Glockenspiel,no Bass drum
Bass drum,Glockenspiel,no Glockenspiel
Bass drum,Gong,no Bass drum
Bass drum,Gong,no Gong
Bass drum,Harmonica,no Bass drum
Bass drum,Harmonica,no Harmonica
Bass drum,Harp,no Bass drum
Bass drum,Harp,no Harp
Bass drum,Hi-hat,no Bass drum
Bass drum,Hi-hat,no Hi-hat
Bass drum,Jingle bell,no Bass drum
Bass drum,Jingle bell,no Jingle bell
Bass drum,Mallet percussion,no Bass drum
Bass drum,Mallet percussion,no Mallet percussion
Bass drum,Maraca,no Bass drum
Bass drum,Maraca,no Maraca
Bass drum,"Marimba, xylophone",no Bass drum
Bass drum,"Marimba, xylophone","no Marimba, xylophone"
Bass drum,Musical ensemble,no Bass drum
Bass drum,Musical ensemble,no Musical ensemble
Bass drum,Oboe,no Bass drum
Bass drum,Oboe,no Oboe
Bass drum,Orchestra,no Bass drum
Bass drum,Orchestra,no Orchestra
Bass drum,Pizzicato,no Bass drum
Bass drum,Pizzicato,no Pizzicato
Bass drum,Rattle (instrument),no Bass drum
Bass drum,Rattle (instrument),no Rattle (instrument)
Bass drum,Saxophone,no Bass drum
Bass drum,Saxophone,no Saxophone
Bass drum,Scratching (performance technique),no Bass drum
Bass drum,Scratching (performance technique),no Scratching (performance technique)
Bass drum,Shofar,no Bass drum
Bass drum,Shofar,no Shofar
Bass drum,Singing bowl,no Bass drum
Bass drum,Singing bowl,no Singing bowl
Bass drum,Soprano saxophone,no Bass drum
Bass drum,Soprano saxophone,no Soprano saxophone
Bass drum,Steelpan,no Bass drum
Bass drum,Steelpan,no Steelpan
Bass drum,String section,no Bass drum
Bass drum,String section,no String section
Bass drum,Tabla,no Bass drum
Bass drum,Tabla,no Tabla
Bass drum,Tambourine,no Bass drum
Bass drum,Tambourine,no Tambourine
Bass drum,Theremin,no Bass drum
Bass drum,Theremin,no Theremin
Bass drum,Timpani,no Bass drum
Bass drum,Timpani,no Timpani
Bass drum,Trombone,no Bass drum
Bass drum,Trombone,no Trombone
Bass drum,Trumpet,no Bass drum
Bass drum,Trumpet,no Trumpet
Bass drum,Tubular bells,no Bass drum
Bass drum,Tubular bells,no Tubular bells
Bass drum,Tuning fork,no Bass drum
Bass drum,Tuning fork,no Tuning fork
Bass drum,Vibraphone,no Bass drum
Bass drum,Vibraphone,no Vibraphone
Bass drum,"Violin, fiddle",no Bass drum
Bass drum,"Violin, fiddle","no Violin, fiddle"
Bass drum,Wind chime,no Bass drum
Bass drum,Wind chime,no Wind chime
Bass drum,"Wind instrument, woodwind instrument",no Bass drum
Bass drum,"Wind instrument, woodwind instrument","no Wind instrument, woodwind instrument"
Bass drum,Wood block,no Bass drum
Bass drum,Wood block,no Wood block
Bass guitar,Accordion,no Bass guitar
Bass guitar,Accordion,no Accordion
Bass guitar,Acoustic guitar,no Bass guitar
Bass guitar,Acoustic guitar,no Acoustic guitar
Bass guitar,Alto saxophone,no Bass guitar
Bass guitar,Alto saxophone,no Alto saxophone
Bass guitar,Bagpipes,no Bass guitar
Bass guitar,Bagpipes,no Bagpipes
Bass guitar,Banjo,no Bass guitar
Bass guitar,Banjo,no Banjo
Bass guitar,Bass (instrument role),no Bass guitar
Bass guitar,Bass (instrument role),no Bass (instrument role)
Bass guitar,Bass drum,no Bass guitar
Bass guitar,Bass drum,no Bass drum
Bass guitar,Bassoon,no Bass guitar
Bass guitar,Bassoon,no Bassoon
Bass guitar,Bell,no Bass guitar
Bass guitar,Bell,no Bell
Bass guitar,Bicycle bell,no Bass guitar
Bass guitar,Bicycle bell,no Bicycle bell
Bass guitar,Bowed string instrument,no Bass guitar
Bass guitar,Bowed string instrument,no Bowed string instrument
Bass guitar,Brass Instrument,no Bass guitar
Bass guitar,Brass Instrument,no Brass Instrument
Bass guitar,Bugle,no Bass guitar
Bass guitar,Bugle,no Bugle
Bass guitar,Cello,no Bass guitar
Bass guitar,Cello,no Cello
Bass guitar,Change ringing (campanology),no Bass guitar
Bass guitar,Change ringing (campanology),no Change ringing (campanology)
Bass guitar,Chime,no Bass guitar
Bass guitar,Chime,no Chime
Bass guitar,Choir,no Bass guitar
Bass guitar,Choir,no Choir
Bass guitar,Church bell,no Bass guitar
Bass guitar,Church bell,no Church bell
Bass guitar,Clarinet,no Bass guitar
Bass guitar,Clarinet,no Clarinet
Bass guitar,Cornet,no Bass guitar
Bass guitar,Cornet,no Cornet
Bass guitar,Cowbell,no Bass guitar
Bass guitar,Cowbell,no Cowbell
Bass guitar,Crash cymbal,no Bass guitar
Bass guitar,Crash cymbal,no Crash cymbal
Bass guitar,Cymbal,no Bass guitar
Bass guitar,Cymbal,no Cymbal
Bass guitar,Didgeridoo,no Bass guitar
Bass guitar,Didgeridoo,no Didgeridoo
Bass guitar,Double bass,no Bass guitar
Bass guitar,Double bass,no Double bass
Bass guitar,Drum,no Bass guitar
Bass guitar,Drum,no Drum
Bass guitar,Drum kit,no Bass guitar
Bass guitar,Drum kit,no Drum kit
Bass guitar,Drum machine,no Bass guitar
Bass guitar,Drum machine,no Drum machine
Bass guitar,Electric organ,no Bass guitar
Bass guitar,Electric organ,no Electric organ
Bass guitar,Electric piano,no Bass guitar
Bass guitar,Electric piano,no Electric piano
Bass guitar,Flute,no Bass guitar
Bass guitar,Flute,no Flute
Bass guitar,French horn,no Bass guitar
Bass guitar,French horn,no French horn
Bass guitar,Glockenspiel,no Bass guitar
Bass guitar,Glockenspiel,no Glockenspiel
Bass guitar,Gong,no Bass guitar
Bass guitar,Gong,no Gong
Bass guitar,Hammond organ,no Bass guitar
Bass guitar,Hammond organ,no Hammond organ
Bass guitar,Harmonica,no Bass guitar
Bass guitar,Harmonica,no Harmonica
Bass guitar,Harp,no Bass guitar
Bass guitar,Harp,no Harp
Bass guitar,Harpsichord,no Bass guitar
Bass guitar,Harpsichord,no Harpsichord
Bass guitar,Hi-hat,no Bass guitar
Bass guitar,Hi-hat,no Hi-hat
Bass guitar,Jingle bell,no Bass guitar
Bass guitar,Jingle bell,no Jingle bell
Bass guitar,Keyboard (musical),no Bass guitar
Bass guitar,Keyboard (musical),no Keyboard (musical)
Bass guitar,Mallet percussion,no Bass guitar
Bass guitar,Mallet percussion,no Mallet percussion
Bass guitar,Mandolin,no Bass guitar
Bass guitar,Mandolin,no Mandolin
Bass guitar,Maraca,no Bass guitar
Bass guitar,Maraca,no Maraca
Bass guitar,"Marimba, xylophone",no Bass guitar
Bass guitar,"Marimba, xylophone","no Marimba, xylophone"
Bass guitar,Mellotron,no Bass guitar
Bass guitar,Mellotron,no Mellotron
Bass guitar,Musical ensemble,no Bass guitar
Bass guitar,Musical ensemble,no Musical ensemble
Bass guitar,Oboe,no Bass guitar
Bass guitar,Oboe,no Oboe
Bass guitar,Orchestra,no Bass guitar
Bass guitar,Orchestra,no Orchestra
Bass guitar,Organ,no Bass guitar
Bass guitar,Organ,no Organ
Bass guitar,Percussion,no Bass guitar
Bass guitar,Percussion,no Percussion
Bass guitar,Piano,no Bass guitar
Bass guitar,Piano,no Piano
Bass guitar,Pizzicato,no Bass guitar
Bass guitar,Pizzicato,no Pizzicato
Bass guitar,Rattle (instrument),no Bass guitar
Bass guitar,Rattle (instrument),no Rattle (instrument)
Bass guitar,Sampler,no Bass guitar
Bass guitar,Sampler,no Sampler
Bass guitar,Saxophone,no Bass guitar
Bass guitar,Saxophone,no Saxophone
Bass guitar,Scratching (performance technique),no Bass guitar
Bass guitar,Scratching (performance technique),no Scratching (performance technique)
Bass guitar,Shofar,no Bass guitar
Bass guitar,Shofar,no Shofar
Bass guitar,Singing bowl,no Bass guitar
Bass guitar,Singing bowl,no Singing bowl
Bass guitar,Sitar,no Bass guitar
Bass guitar,Sitar,no Sitar
Bass guitar,Snare drum,no Bass guitar
Bass guitar,Snare drum,no Snare drum
Bass guitar,Soprano saxophone,no Bass guitar
Bass guitar,Soprano saxophone,no Soprano saxophone
Bass guitar,"Steel guitar, slide guitar",no Bass guitar
Bass guitar,"Steel guitar, slide guitar","no Steel guitar, slide guitar"
Bass guitar,Steelpan,no Bass guitar
Bass guitar,Steelpan,no Steelpan
Bass guitar,String section,no Bass guitar
Bass guitar,String section,no String section
Bass guitar,Strum,no Bass guitar
Bass guitar,Strum,no Strum
Bass guitar,Synthesizer,no Bass guitar
Bass guitar,Synthesizer,no Synthesizer
Bass guitar,Tabla,no Bass guitar
Bass guitar,Tabla,no Tabla
Bass guitar,Tambourine,no Bass guitar
Bass guitar,Tambourine,no Tambourine
Bass guitar,Tapping (guitar technique),no Bass guitar
Bass guitar,Tapping (guitar technique),no Tapping (guitar technique)
Bass guitar,Theremin,no Bass guitar
Bass guitar,Theremin,no Theremin
Bass guitar,Timpani,no Bass guitar
Bass guitar,Timpani,no Timpani
Bass guitar,Trombone,no Bass guitar
